researchCenterId,researchCenterName,city,latitude,longitude,internalFacilitiesCount,hospitals_10km,pharmacies_10km,facilityDiversity_10km,facilityDensity_10km
RC-014,Research Center 14,City 4,50.7713,-1.926,3,1,0,0.37448790266313425,0.1775057866684699
RC-040,Research Center 40,City 2,50.5088,-1.3637,2,1,1,0.39190316642573375,0.10896465870001407
RC-031,Research Center 31,City 4,50.2202,-1.2889,3,0,1,0.293551837122835,0.07615496435074873
RC-046,Research Center 46,City 5,50.9362,-1.304,11,4,4,0.8845021680097509,0.697016155031279
RC-018,Research Center 18,City 2,50.0254,-1.8921,10,4,5,0.8426110669546335,0.568982671592915
RC-049,Research Center 49,City 3,50.9132,-1.4887,4,2,1,0.4582821860536127,0.21418818339998555
RC-027,Research Center 27,City 3,50.0331,-1.6549,1,0,1,0.14346846162736693,0.12341791404163446
RC-026,Research Center 26,City 3,50.3009,-1.7152,8,3,3,0.9929844867497959,0.5233111039954694
RC-033,Research Center 33,City 4,50.2091,-1.4586,2,0,0,0.29799521381025373,0.1725833300301824
RC-020,Research Center 20,City 5,50.077,-1.7102,2,1,1,0.28730621444013804,0.09434505287565711
RC-013,Research Center 13,City 4,50.9869,-1.2278,3,0,0,0.3120572031542852,0.1593510752061481
RC-005,Research Center 5,City 1,50.3664,-1.5439,10,4,5,0.8147385973801488,0.6949692657420364
RC-038,Research Center 38,City 4,50.6919,-1.348,8,4,3,0.7054226090846563,0.5481681145550303
RC-009,Research Center 9,City 4,50.6625,-1.6883,5,2,2,0.5703100983459974,0.20626265849111172
RC-004,Research Center 4,City 1,50.0071,-1.9769,10,3,5,0.7418481581956126,0.48764339456056544
RC-007,Research Center 7,City 4,50.9656,-1.1916,8,4,3,0.7692681476866446,0.47230763980780355
RC-042,Research Center 42,City 5,50.8642,-1.7698,3,1,0,0.33056620429189276,0.05654056576316507
RC-047,Research Center 47,City 4,50.1401,-1.4817,2,1,0,0.35460093847740237,0.07049319971630433
RC-048,Research Center 48,City 1,50.7089,-1.4472,5,1,2,0.6430340184037542,0.3734144637160208
RC-016,Research Center 16,City 5,50.6376,-1.1128,4,1,1,0.6915136286167312,0.3697827648532168
RC-010,Research Center 10,City 1,50.8423,-1.5502,2,1,1,0.2793699936433256,0.18828113525346757
RC-017,Research Center 17,City 2,50.7217,-1.764,9,3,5,0.8568198488145982,0.5282623055075649
RC-025,Research Center 25,City 3,50.4038,-1.9351,2,1,1,0.17553468874760925,0.12458727588385783
RC-035,Research Center 35,City 5,50.6331,-1.661,10,3,5,0.9568972875634277,0.521352438136657
RC-032,Research Center 32,City 1,50.6909,-1.6133,5,2,1,0.6027070351117843,0.34704322384815445
RC-001,Research Center 1,City 3,50.3745,-1.0493,3,1,0,0.27905504738394615,0.11687491292803869
RC-045,Research Center 45,City 2,50.3057,-1.8091,4,2,3,0.45084782400582774,0.31136025249167004
RC-028,Research Center 28,City 1,50.9857,-1.7579,11,3,5,0.8108963368184213,0.4726479814832278
RC-034,Research Center 34,City 3,50.5552,-1.4703,9,3,4,0.969164727385998,0.6701254171489991
RC-006,Research Center 6,City 5,50.4668,-1.1401,3,0,0,0.11951547789558387,0.192332830588
RC-030,Research Center 30,City 2,50.8353,-1.6792,5,2,1,0.6575076414441159,0.265191781040377
RC-012,Research Center 12,City 3,50.8287,-1.6432,1,0,0,0.34065909422621193,0.06118259655196563
RC-037,Research Center 37,City 1,50.3723,-1.0599,4,1,2,0.4482424154252496,0.30974675787331724
RC-002,Research Center 2,City 3,50.1,-1.5408,4,2,3,0.40617534828874075,0.3939819704323989
RC-022,Research Center 22,City 3,50.1221,-1.6437,5,1,1,0.4683805487625825,0.2854215577252513
RC-003,Research Center 3,City 4,50.8324,-1.7877,11,4,3,0.885244452888315,0.5834959481464843
RC-044,Research Center 44,City 1,50.9283,-1.5718,4,1,3,0.6940994751148137,0.21506925120122566
RC-036,Research Center 36,City 1,50.8878,-1.1491,4,2,2,0.6006964764142686,0.31613732428729097
RC-024,Research Center 24,City 3,50.1199,-1.6624,10,3,4,0.765629265871921,0.5674306006052023
RC-041,Research Center 41,City 2,50.892,-1.3689,2,0,1,0.2935310086091695,0.15033860894946496
RC-011,Research Center 11,City 5,50.0885,-1.804,8,4,3,0.8166031869068446,0.4814047095321688
RC-023,Research Center 23,City 3,50.818,-1.1393,6,2,3,0.5252233009446337,0.24442156209414606
RC-019,Research Center 19,City 5,50.6955,-1.8607,6,1,3,0.6266653415629145,0.2457596330983245
RC-050,Research Center 50,City 1,50.3968,-1.9492,6,1,3,0.5126748857919832,0.2187963879681738
RC-021,Research Center 21,City 5,50.1055,-1.5435,7,2,2,0.6649840776756605,0.2648690042010548
RC-008,Research Center 8,City 1,50.6833,-1.39,11,3,5,0.9727961206236346,0.4776339944800051
RC-043,Research Center 43,City 3,50.9946,-1.5301,9,3,4,0.8110476100766333,0.40463698495866024
RC-015,Research Center 15,City 3,50.4495,-1.9046,6,1,2,0.4975549966080241,0.3459212356676128
RC-029,Research Center 29,City 4,50.8031,-1.5297,9,4,4,0.8607324052224276,0.4270869310163225
RC-039,Research Center 39,City 3,50.1788,-1.6335,3,0,0,0.1924182375557168,0.1313810345832349
